startValue,endValue,quantity
0,199,1681717
200,399,351274
400,599,230165
600,799,180321
800,999,154711
1000,1199,138410
1200,1399,128267
1400,1599,120246
1600,1799,114518
1800,1999,109537
2000,2199,105225
2200,2399,103007
2400,2599,100891
2600,2799,98191
2800,2999,96224
3000,3199,95309
3200,3399,92442
3400,3599,90624
3600,3799,88522
3800,3999,86445
4000,4199,84319
4200,4399,82094
4400,4599,80017
4600,4799,77675
4800,4999,75403
5000,5199,72790
5200,5399,69969
5400,5599,68095
5600,5799,64834
5800,5999,62642
6000,6199,59824
6200,6399,57294
6400,6599,54245
6600,6799,51541
6800,6999,49011
7000,7199,46603
7200,7399,44422
7400,7599,42435
7600,7799,40075
7800,7999,38083
8000,8199,36048
8200,8399,33948
8400,8599,31687
8600,8799,30300
8800,8999,28548
9000,9199,27061
9200,9399,25586
9400,9599,24137
9600,9799,22892
9800,9999,21727
10000,10199,20226
10200,10399,19272
10400,10599,18164
10600,10799,17387
10800,10999,16040
11000,11199,15575
11200,11399,14647
11400,11599,13849
11600,11799,13207
11800,11999,12396
12000,12199,12057
12200,12399,11582
12400,12599,10992
12600,12799,10358
12800,12999,10027
13000,13199,9756
13200,13399,9238
13400,13599,8603
13600,13799,8441
13800,13999,8270
14000,14199,7790
14200,14399,7284
14400,14599,7108
14600,14799,7064
14800,14999,6704
15000,15199,6498
15200,15399,6135
15400,15599,5905
15600,15799,5874
15800,15999,5664
16000,16199,5481
16200,16399,5174
16400,16599,5033
16600,16799,5044
16800,16999,4753
17000,17199,4509
17200,17399,4524
17400,17599,4349
17600,17799,4209
17800,17999,4113
18000,18199,3983
18200,18399,3990
18400,18599,3758
18600,18799,3685
18800,18999,3615
19000,19199,3520
19200,19399,3362
19400,19599,3266
19600,19799,3284
19800,19999,3077
20000,20199,3054
20200,20399,3090
20400,20599,2911
20600,20799,2805
20800,20999,2754
21000,21199,2714
21200,21399,2732
21400,21599,2614
21600,21799,2467
21800,21999,2520
22000,22199,2311
22200,22399,2348
22400,22599,2303
22600,22799,2282
22800,22999,2218
23000,23199,2172
23200,23399,2122
23400,23599,2092
23600,23799,2008
23800,23999,2032
24000,24199,1983
24200,24399,1950
24400,24599,1866
24600,24799,1811
24800,24999,1759
25000,25199,1804
25200,25399,1739
25400,25599,1728
25600,25799,1632
25800,25999,1697
26000,26199,1622
26200,26399,1597
26400,26599,1536
26600,26799,1498
26800,26999,1440
27000,27199,1432
27200,27399,1488
27400,27599,1411
27600,27799,1355
27800,27999,1369
28000,28199,1353
28200,28399,1282
28400,28599,1240
28600,28799,1320
28800,28999,1285
29000,29199,1237
29200,29399,1145
29400,29599,1206
29600,29799,1105
29800,29999,1139
30000,30199,1131
30200,30399,1116
30400,30599,1142
30600,30799,1108
30800,30999,1040
31000,31199,1092
31200,31399,1107
31400,31599,1011
31600,31799,986
31800,31999,974
32000,32199,1025
32200,32399,941
32400,32599,919
32600,32799,938
32800,32999,927
33000,33199,884
33200,33399,862
33400,33599,835
33600,33799,820
33800,33999,846
34000,34199,747
34200,34399,762
34400,34599,778
34600,34799,757
34800,34999,793
35000,35199,778
35200,35399,733
35400,35599,755
35600,35799,694
35800,35999,688
36000,36199,701
36200,36399,706
36400,36599,650
36600,36799,663
36800,36999,634
37000,37199,598
37200,37399,628
37400,37599,588
37600,37799,575
37800,37999,646
38000,38199,582
38200,38399,569
38400,38599,575
38600,38799,577
38800,38999,510
39000,39199,560
39200,39399,508
39400,39599,517
39600,39799,516
39800,39999,527
40000,40199,491
40200,40399,487
40400,40599,496
40600,40799,478
40800,40999,460
41000,41199,456
41200,41399,421
41400,41599,450
41600,41799,419
41800,41999,407
42000,42199,436
42200,42399,426
42400,42599,409
42600,42799,383
42800,42999,391
43000,43199,419
43200,43399,380
43400,43599,401
43600,43799,356
43800,43999,377
44000,44199,386
44200,44399,370
44400,44599,342
44600,44799,360
44800,44999,375
45000,45199,320
45200,45399,330
45400,45599,346
45600,45799,308
45800,45999,339
46000,46199,300
46200,46399,303
46400,46599,296
46600,46799,283
46800,46999,292
47000,47199,287
47200,47399,273
47400,47599,284
47600,47799,285
47800,47999,250
48000,48199,279
48200,48399,297
48400,48599,292
48600,48799,272
48800,48999,251
49000,49199,221
49200,49399,245
49400,49599,231
49600,49799,256
49800,49999,243
50000,50199,250
50200,50399,239
50400,50599,230
50600,50799,248
50800,50999,211
51000,51199,234
51200,51399,244
51400,51599,220
51600,51799,233
51800,51999,186
52000,52199,213
52200,52399,210
52400,52599,203
52600,52799,192
52800,52999,191
53000,53199,194
53200,53399,221
53400,53599,197
53600,53799,180
53800,53999,201
54000,54199,172
54200,54399,167
54400,54599,193
54600,54799,175
54800,54999,143
55000,55199,190
55200,55399,145
55400,55599,173
55600,55799,168
55800,55999,165
56000,56199,192
56200,56399,149
56400,56599,173
56600,56799,166
56800,56999,165
57000,57199,164
57200,57399,165
57400,57599,139
57600,57799,138
57800,57999,165
58000,58199,135
58200,58399,145
58400,58599,170
58600,58799,146
58800,58999,133
59000,59199,143
59200,59399,132
59400,59599,125
59600,59799,135
59800,59999,145
60000,60199,138
60200,60399,133
60400,60599,139
60600,60799,132
60800,60999,146
61000,61199,118
61200,61399,123
61400,61599,130
61600,61799,114
61800,61999,115
62000,62199,113
62200,62399,109
62400,62599,127
62600,62799,119
62800,62999,119
63000,63199,103
63200,63399,123
63400,63599,111
63600,63799,119
63800,63999,98
64000,64199,94
64200,64399,106
64400,64599,111
64600,64799,98
64800,64999,107
65000,65199,118
65200,65399,105
65400,65599,92
65600,65799,112
65800,65999,92
66000,66199,105
66200,66399,78
66400,66599,85
66600,66799,104
66800,66999,97
67000,67199,98
67200,67399,78
67400,67599,83
67600,67799,88
67800,67999,89
68000,68199,101
68200,68399,79
68400,68599,75
68600,68799,86
68800,68999,94
69000,69199,91
69200,69399,69
69400,69599,84
69600,69799,83
69800,69999,76
70000,70199,65
70200,70399,93
70400,70599,71
70600,70799,87
70800,70999,68
71000,71199,88
71200,71399,82
71400,71599,74
71600,71799,76
71800,71999,76
72000,72199,87
72200,72399,75
72400,72599,70
72600,72799,65
72800,72999,73
73000,73199,69
73200,73399,74
73400,73599,65
73600,73799,67
73800,73999,67
74000,74199,72
74200,74399,56
74400,74599,71
74600,74799,72
74800,74999,57
75000,75199,62
75200,75399,68
75400,75599,75
75600,75799,62
75800,75999,63
76000,76199,56
76200,76399,52
76400,76599,46
76600,76799,60
76800,76999,51
77000,77199,62
77200,77399,64
77400,77599,58
77600,77799,51
77800,77999,68
78000,78199,53
78200,78399,65
78400,78599,63
78600,78799,57
78800,78999,52
79000,79199,64
79200,79399,60
79400,79599,52
79600,79799,53
79800,79999,53
80000,80199,54
80200,80399,51
80400,80599,55
80600,80799,60
80800,80999,50
81000,81199,52
81200,81399,50
81400,81599,57
81600,81799,51
81800,81999,41
82000,82199,51
82200,82399,53
82400,82599,52
82600,82799,51
82800,82999,44
83000,83199,49
83200,83399,50
83400,83599,40
83600,83799,41
83800,83999,38
84000,84199,50
84200,84399,61
84400,84599,57
84600,84799,35
84800,84999,53
85000,85199,49
85200,85399,47
85400,85599,46
85600,85799,35
85800,85999,42
86000,86199,46
86200,86399,51
86400,86599,39
86600,86799,41
86800,86999,42
87000,87199,38
87200,87399,38
87400,87599,41
87600,87799,63
87800,87999,35
88000,88199,40
88200,88399,42
88400,88599,38
88600,88799,41
88800,88999,35
89000,89199,39
89200,89399,45
89400,89599,39
89600,89799,40
89800,89999,34
90000,90199,33
90200,90399,32
90400,90599,38
90600,90799,51
90800,90999,40
91000,91199,36
91200,91399,43
91400,91599,38
91600,91799,39
91800,91999,37
92000,92199,29
92200,92399,35
92400,92599,34
92600,92799,31
92800,92999,32
93000,93199,37
93200,93399,42
93400,93599,23
93600,93799,41
93800,93999,26
94000,94199,27
94200,94399,23
94400,94599,29
94600,94799,31
94800,94999,25
95000,95199,34
95200,95399,30
95400,95599,34
95600,95799,32
95800,95999,45
96000,96199,24
96200,96399,25
96400,96599,26
96600,96799,36
96800,96999,22
97000,97199,34
97200,97399,26
97400,97599,25
97600,97799,37
97800,97999,33
98000,98199,27
98200,98399,27
98400,98599,34
98600,98799,17
98800,98999,41
99000,99199,30
99200,99399,32
99400,99599,25
99600,99799,30
99800,99999,32
100000,100199,31
100200,100399,22
100400,100599,27
100600,100799,29
100800,100999,28
101000,101199,18
101200,101399,18
101400,101599,20
101600,101799,39
101800,101999,26
102000,102199,25
102200,102399,24
102400,102599,36
102600,102799,23
102800,102999,30
103000,103199,20
103200,103399,22
103400,103599,33
103600,103799,25
103800,103999,30
104000,104199,24
104200,104399,31
104400,104599,19
104600,104799,31
104800,104999,17
105000,105199,26
105200,105399,35
105400,105599,25
105600,105799,35
105800,105999,14
106000,106199,31
106200,106399,13
106400,106599,22
106600,106799,19
106800,106999,28
107000,107199,31
107200,107399,19
107400,107599,22
107600,107799,24
107800,107999,33
108000,108199,26
108200,108399,18
108400,108599,21
108600,108799,29
108800,108999,21
109000,109199,23
109200,109399,30
109400,109599,25
109600,109799,20
109800,109999,24
110000,110199,17
110200,110399,20
110400,110599,16
110600,110799,24
110800,110999,22
111000,111199,18
111200,111399,25
111400,111599,25
111600,111799,26
111800,111999,26
112000,112199,23
112200,112399,22
112400,112599,18
112600,112799,14
112800,112999,19
113000,113199,24
113200,113399,18
113400,113599,12
113600,113799,15
113800,113999,14
114000,114199,25
114200,114399,21
114400,114599,21
114600,114799,18
114800,114999,11
115000,115199,15
115200,115399,14
115400,115599,23
115600,115799,16
115800,115999,9
116000,116199,27
116200,116399,23
116400,116599,17
116600,116799,26
116800,116999,14
117000,117199,29
117200,117399,24
117400,117599,23
117600,117799,24
117800,117999,14
118000,118199,16
118200,118399,14
118400,118599,13
118600,118799,14
118800,118999,23
119000,119199,24
119200,119399,18
119400,119599,18
119600,119799,16
119800,119999,19
120000,120199,14
120200,120399,19
120400,120599,14
120600,120799,16
120800,120999,25
121000,121199,26
121200,121399,17
121400,121599,17
121600,121799,12
121800,121999,12
122000,122199,13
122200,122399,19
122400,122599,19
122600,122799,17
122800,122999,10
123000,123199,17
123200,123399,13
123400,123599,11
123600,123799,6
123800,123999,19
124000,124199,16
124200,124399,18
124400,124599,14
124600,124799,13
124800,124999,12
125000,125199,15
125200,125399,16
125400,125599,17
125600,125799,11
125800,125999,12
126000,126199,9
126200,126399,9
126400,126599,15
126600,126799,17
126800,126999,17
127000,127199,18
127200,127399,17
127400,127599,13
127600,127799,10
127800,127999,13
128000,128199,17
128200,128399,13
128400,128599,17
128600,128799,20
128800,128999,8
129000,129199,16
