startValue,endValue,quantity,gids
0,9999,702,[]
10000,19999,618,[]
20000,29999,427,[]
30000,39999,269,[]
40000,49999,212,[]
50000,59999,122,[]
60000,69999,101,[]
70000,79999,76,[]
80000,89999,58,[]
90000,99999,53,[]
100000,109999,41,[]
110000,119999,36,[]
120000,129999,25,[]
130000,139999,39,[]
140000,149999,23,[]
150000,159999,29,[]
160000,169999,27,[]
170000,179999,19,[]
180000,189999,15,[]
190000,199999,14,[]
200000,209999,20,[]
210000,219999,10,[]
220000,229999,7,[]
230000,239999,10,[]
240000,249999,6,[]
250000,259999,11,[]
260000,269999,12,[]
270000,279999,8,[]
280000,289999,8,[]
290000,299999,11,[]
300000,309999,5,[]
310000,319999,8,[]
320000,329999,4,[]
330000,339999,4,[]
340000,349999,5,[]
350000,359999,4,[]
360000,369999,4,[]
370000,379999,5,[]
380000,389999,3,[]
390000,399999,3,[]
400000,409999,3,[]
410000,419999,4,[]
420000,429999,6,[]
430000,439999,5,[]
440000,449999,5,[]
450000,459999,2,"['45045', 451225.0, 'Greenville County, South Carolina']"
460000,469999,4,[]
470000,479999,1,"['53063', 471221.0, 'Spokane County, Washington']"
480000,489999,3,[]
490000,499999,6,[]
500000,509999,2,"['27123', 508640.0, 'Ramsey County, Minnesota']"
510000,519999,6,[]
520000,529999,1,"['41067', 529710.0, 'Washington County, Oregon']"
530000,539999,5,[]
540000,549999,4,[]
550000,559999,1,"['42045', 558979.0, 'Delaware County, Pennsylvania']"
560000,569999,0,[]
570000,579999,2,"['08005', 572003.0, 'Arapahoe County, Colorado']"
580000,589999,1,"['48157', 585375.0, 'Fort Bend County, Texas']"
590000,599999,0,[]
600000,609999,5,[]
610000,619999,1,"['12071', 618754.0, 'Lee County, Florida']"
620000,629999,5,[]
630000,639999,2,"['34017', 634266.0, 'Hudson County, New Jersey']"
640000,649999,0,[]
650000,659999,1,"['01073', 658466.0, 'Jefferson County, Alabama']"
660000,669999,2,"['35001', 662564.0, 'Bernalillo County, New Mexico']"
670000,679999,3,[]
680000,689999,2,"['06077', 685306.0, 'San Joaquin County, California']"
690000,699999,1,"['13089', 691893.0, 'DeKalb County, Georgia']"
700000,709999,1,"['17097', 703462.0, 'Lake County, Illinois']"
710000,719999,3,[]
720000,729999,1,"['25025', 722023.0, 'Suffolk County, Massachusetts']"
730000,739999,1,"['41051', 735334.0, 'Multnomah County, Oregon']"
740000,749999,3,[]
750000,759999,0,[]
760000,769999,0,[]
770000,779999,1,"['48215', 774769.0, 'Hidalgo County, Texas']"
780000,789999,2,"['34013', 783969.0, 'Essex County, New Jersey']"
790000,799999,3,[]
800000,809999,6,[]
810000,819999,0,[]
820000,829999,1,"['06111', 823318.0, 'Ventura County, California']"
830000,839999,1,"['06029', 839631.0, 'Kern County, California']"
840000,849999,1,"['26099', 840978.0, 'Macomb County, Michigan']"
850000,859999,0,[]
860000,869999,3,[]
870000,879999,0,[]
880000,889999,0,[]
890000,899999,1,"['09003', 894014.0, 'Hartford County, Connecticut']"
900000,909999,3,[]
910000,919999,5,[]
920000,929999,2,"['13121', 920581.0, 'Fulton County, Georgia']"
930000,939999,1,"['06019', 930450.0, 'Fresno County, California']"
940000,949999,2,"['36119', 949113.0, 'Westchester County, New York']"
950000,959999,1,"['15003', 953207.0, 'Honolulu County, Hawaii']"
960000,969999,0,[]
970000,979999,1,"['24031', 971777.0, 'Montgomery County, Maryland']"
980000,989999,1,"['04019', 980263.0, 'Pima County, Arizona']"
990000,999999,1,"['29189', 998954.0, 'St. Louis County, Missouri']"
1000000,1009999,0,[]
