startValue,endValue,quantity
0,49,93
50,99,39
100,149,29
150,199,66
200,249,83
250,299,105
300,349,128
350,399,149
400,449,261
450,499,188
500,549,183
550,599,271
600,649,178
650,699,126
700,749,149
750,799,109
800,849,85
850,899,125
900,949,112
950,999,64
1000,1049,56
1050,1099,44
1100,1149,43
1150,1199,25
1200,1249,24
1250,1299,26
1300,1349,17
1350,1399,15
1400,1449,16
1450,1499,13
1500,1549,11
1550,1599,12
1600,1649,11
1650,1699,11
1700,1749,15
1750,1799,13
1800,1849,12
1850,1899,14
1900,1949,9
1950,1999,5
2000,2049,11
2050,2099,9
2100,2149,8
2150,2199,3
2200,2249,10
2250,2299,4
2300,2349,5
2350,2399,10
2400,2449,5
2450,2499,4
2500,2549,4
2550,2599,10
2600,2649,7
2650,2699,6
2700,2749,2
2750,2799,4
2800,2849,2
2850,2899,5
2900,2949,3
2950,2999,3
3000,3049,3
3050,3099,2
3100,3149,4
3150,3199,2
3200,3249,4
3250,3299,5
3300,3349,3
3350,3399,3
3400,3449,1
3450,3499,2
3500,3549,1
3550,3599,3
3600,3649,1
3650,3699,2
3700,3749,1
3750,3799,4
3800,3849,3
3850,3899,1
3900,3949,3
3950,3999,6
4000,4049,1
4050,4099,2
4100,4149,0
4150,4199,5
4200,4249,2
4250,4299,3
4300,4349,1
4350,4399,2
4400,4449,0
4450,4499,3
4500,4549,3
4550,4599,3
4600,4649,1
4650,4699,1
4700,4749,2
4750,4799,3
4800,4849,3
4850,4899,2
4900,4949,3
4950,4999,1
5000,5049,2
5050,5099,1
5100,5149,1
5150,5199,1
5200,5249,0
5250,5299,1
5300,5349,1
5350,5399,1
5400,5449,1
5450,5499,1
5500,5549,3
5550,5599,0
5600,5649,0
5650,5699,0
5700,5749,1
5750,5799,0
5800,5849,0
5850,5899,1
5900,5949,1
5950,5999,2
6000,6049,1
6050,6099,1
6100,6149,0
6150,6199,2
6200,6249,1
6250,6299,1
6300,6349,1
6350,6399,0
6400,6449,0
6450,6499,0
6500,6549,1
6550,6599,1
6600,6649,2
6650,6699,1
6700,6749,0
6750,6799,0
6800,6849,0
6850,6899,0
6900,6949,3
6950,6999,1
7000,7049,0
7050,7099,0
7100,7149,0
7150,7199,0
7200,7249,1
7250,7299,0
7300,7349,1
7350,7399,0
7400,7449,0
7450,7499,0
7500,7549,1
7550,7599,0
7600,7649,1
7650,7699,1
7700,7749,0
7750,7799,0
7800,7849,1
7850,7899,2
7900,7949,0
7950,7999,0
8000,8049,0
8050,8099,0
8100,8149,3
8150,8199,0
8200,8249,0
8250,8299,0
8300,8349,0
8350,8399,0
8400,8449,0
8450,8499,1
8500,8549,0
8550,8599,0
8600,8649,0
