startValue,endValue,quantity
0.0,-0.99,742
0.01,-0.98,1782
0.02,-0.97,1276
0.03,-0.96,829
0.04,-0.95,521
0.05,-0.94,441
0.06,-0.9299999999999999,419
0.07,-0.92,358
0.08,-0.91,329
0.09,-0.9,302
0.1,-0.89,288
0.11,-0.88,257
0.12,-0.87,207
0.13,-0.86,221
0.14,-0.85,203
0.15,-0.84,142
0.16,-0.83,169
0.17,-0.8200000000000001,147
0.18,-0.81,166
0.19,-0.8,144
0.2,-0.79,111
0.21,-0.78,107
0.22,-0.77,102
0.23,-0.76,92
0.24,-0.75,82
0.25,-0.74,87
0.26,-0.73,73
0.27,-0.72,64
0.28,-0.71,78
0.29,-0.7,77
0.3,-0.69,67
0.31,-0.6799999999999999,64
0.32,-0.6699999999999999,61
0.33,-0.6599999999999999,71
0.34,-0.6499999999999999,60
0.35000000000000003,-0.64,52
0.36,-0.63,65
0.37,-0.62,62
0.38,-0.61,59
0.39,-0.6,51
0.4,-0.59,58
0.41000000000000003,-0.5800000000000001,40
0.42,-0.5700000000000001,44
0.43,-0.56,48
0.44,-0.55,46
0.45,-0.54,28
0.46,-0.53,46
0.47000000000000003,-0.52,33
0.48,-0.51,38
0.49,-0.5,44
0.5,-0.49,35
0.51,-0.48,46
0.52,-0.47,40
0.53,-0.45999999999999996,29
0.54,-0.44999999999999996,33
0.55,-0.43999999999999995,35
0.56,-0.42999999999999994,30
0.5700000000000001,-0.42000000000000004,29
0.58,-0.41000000000000003,27
0.59,-0.4,36
0.6,-0.39,23
0.61,-0.38,24
0.62,-0.37,27
0.63,-0.36,24
0.64,-0.35,24
0.65,-0.33999999999999997,17
0.66,-0.32999999999999996,27
0.67,-0.31999999999999995,23
0.68,-0.30999999999999994,32
0.6900000000000001,-0.29999999999999993,20
0.7000000000000001,-0.29000000000000004,21
0.71,-0.28,25
0.72,-0.27,27
0.73,-0.26,25
0.74,-0.25,16
0.75,-0.24,19
0.76,-0.22999999999999998,26
0.77,-0.21999999999999997,25
0.78,-0.20999999999999996,13
0.79,-0.19999999999999996,24
0.8,-0.18999999999999995,22
0.81,-0.17999999999999994,12
0.8200000000000001,-0.16999999999999993,16
0.8300000000000001,-0.16000000000000003,16
0.84,-0.15000000000000002,20
0.85,-0.14,22
0.86,-0.13,25
0.87,-0.12,21
0.88,-0.10999999999999999,15
0.89,-0.09999999999999998,21
0.9,-0.08999999999999997,11
0.91,-0.07999999999999996,17
0.92,-0.06999999999999995,17
0.93,-0.05999999999999994,17
0.9400000000000001,-0.04999999999999993,8
0.9500000000000001,-0.040000000000000036,11
0.96,-0.030000000000000027,11
0.97,-0.020000000000000018,13
0.98,-0.010000000000000009,12
0.99,0.0,13
1.0,0.010000000000000009,19
1.01,0.020000000000000018,22
1.02,0.030000000000000027,18
1.03,0.040000000000000036,10
1.04,0.050000000000000044,12
1.05,0.06000000000000005,9
1.06,0.07000000000000006,18
1.07,0.08000000000000007,10
1.08,0.09000000000000008,15
1.09,0.10000000000000009,8
1.1,0.1100000000000001,14
1.11,0.1200000000000001,10
1.12,0.13000000000000012,7
1.1300000000000001,0.14000000000000012,9
1.1400000000000001,0.15000000000000013,14
1.1500000000000001,0.15999999999999992,6
1.16,0.16999999999999993,3
1.17,0.17999999999999994,13
1.18,0.18999999999999995,13
1.19,0.19999999999999996,8
1.2,0.20999999999999996,9
1.21,0.21999999999999997,7
1.22,0.22999999999999998,12
1.23,0.24,7
1.24,0.25,4
1.25,0.26,13
1.26,0.27,9
1.27,0.28,7
1.28,0.29000000000000004,9
1.29,0.30000000000000004,9
1.3,0.31000000000000005,5
1.31,0.32000000000000006,9
1.32,0.33000000000000007,7
1.33,0.3400000000000001,7
1.34,0.3500000000000001,11
1.35,0.3600000000000001,1
1.36,0.3700000000000001,10
1.37,0.3800000000000001,15
1.3800000000000001,0.3900000000000001,8
1.3900000000000001,0.40000000000000013,3
1.4000000000000001,0.4099999999999999,4
1.41,0.41999999999999993,6
1.42,0.42999999999999994,10
1.43,0.43999999999999995,6
1.44,0.44999999999999996,3
1.45,0.45999999999999996,12
1.46,0.47,3
1.47,0.48,8
1.48,0.49,5
1.49,0.5,16
1.5,0.51,8
1.51,0.52,12
1.52,0.53,7
1.53,0.54,10
1.54,0.55,9
1.55,0.56,11
1.56,0.5700000000000001,9
1.57,0.5800000000000001,6
1.58,0.5900000000000001,5
1.59,0.6000000000000001,6
1.6,0.6100000000000001,4
1.61,0.6200000000000001,7
1.62,0.6300000000000001,7
1.6300000000000001,0.6400000000000001,9
1.6400000000000001,0.6500000000000001,6
1.6500000000000001,0.6600000000000001,5
1.6600000000000001,0.6699999999999999,1
1.67,0.6799999999999999,4
1.68,0.69,5
1.69,0.7,3
1.7,0.71,3
1.71,0.72,4
1.72,0.73,6
1.73,0.74,4
1.74,0.75,4
1.75,0.76,3
1.76,0.77,5
1.77,0.78,1
1.78,0.79,3
1.79,0.8,4
1.8,0.81,2
1.81,0.8200000000000001,4
1.82,0.8300000000000001,1
1.83,0.8400000000000001,8
1.84,0.8500000000000001,6
1.85,0.8600000000000001,9
1.86,0.8700000000000001,9
1.87,0.8800000000000001,2
1.8800000000000001,0.8900000000000001,5
1.8900000000000001,0.9000000000000001,6
1.9000000000000001,0.9100000000000001,2
1.9100000000000001,0.9199999999999999,3
1.92,0.9299999999999999,0
1.93,0.94,3
1.94,0.95,4
1.95,0.96,8
1.96,0.97,2
1.97,0.98,3
1.98,0.99,8
1.99,1.0,5
2.0,1.0100000000000002,5
2.0100000000000002,1.02,4
2.02,1.0300000000000002,3
2.0300000000000002,1.04,7
2.04,1.0499999999999998,3
2.05,1.06,2
2.06,1.0699999999999998,4
2.07,1.08,3
2.08,1.0899999999999999,2
2.09,1.1,5
2.1,1.1099999999999999,4
2.11,1.12,2
2.12,1.13,5
2.13,1.1400000000000001,0
2.14,1.15,6
2.15,1.1600000000000001,5
2.16,1.17,3
2.17,1.1800000000000002,3
2.18,1.19,4
2.19,1.2000000000000002,5
2.2,1.21,2
2.21,1.2200000000000002,3
2.22,1.23,2
2.23,1.2400000000000002,6
2.24,1.25,2
2.25,1.2600000000000002,1
2.2600000000000002,1.27,3
2.27,1.2800000000000002,2
2.2800000000000002,1.29,7
2.29,1.3000000000000003,4
2.3000000000000003,1.31,3
2.31,1.3199999999999998,5
2.32,1.33,5
2.33,1.3399999999999999,5
2.34,1.35,1
2.35,1.3599999999999999,2
