startValue,endValue,quantity
0,49,193
50,99,234
100,149,110
150,199,88
200,249,52
250,299,37
300,349,30
350,399,24
400,449,30
450,499,23
500,549,19
550,599,17
600,649,18
650,699,16
700,749,8
750,799,19
800,849,20
850,899,19
900,949,20
950,999,13
1000,1049,22
1050,1099,23
1100,1149,14
1150,1199,22
1200,1249,19
1250,1299,15
1300,1349,17
1350,1399,16
1400,1449,16
1450,1499,16
1500,1549,20
1550,1599,10
1600,1649,19
1650,1699,18
1700,1749,21
1750,1799,14
1800,1849,17
1850,1899,18
1900,1949,15
1950,1999,9
2000,2049,18
2050,2099,15
2100,2149,15
2150,2199,17
2200,2249,8
2250,2299,17
2300,2349,15
2350,2399,22
2400,2449,5
2450,2499,13
2500,2549,9
2550,2599,18
2600,2649,15
2650,2699,19
2700,2749,10
2750,2799,8
2800,2849,17
2850,2899,14
2900,2949,13
2950,2999,9
3000,3049,14
3050,3099,16
3100,3149,15
3150,3199,13
3200,3249,18
3250,3299,14
3300,3349,12
3350,3399,15
3400,3449,20
3450,3499,8
3500,3549,11
3550,3599,8
3600,3649,6
3650,3699,13
3700,3749,13
3750,3799,8
3800,3849,6
3850,3899,16
3900,3949,11
3950,3999,18
4000,4049,12
4050,4099,3
4100,4149,11
4150,4199,7
4200,4249,8
4250,4299,12
4300,4349,5
4350,4399,8
4400,4449,12
4450,4499,6
4500,4549,8
4550,4599,6
4600,4649,6
4650,4699,7
4700,4749,10
4750,4799,7
4800,4849,9
4850,4899,7
4900,4949,5
4950,4999,9
5000,5049,7
5050,5099,11
5100,5149,8
5150,5199,6
5200,5249,5
5250,5299,11
5300,5349,4
5350,5399,9
5400,5449,9
5450,5499,5
5500,5549,8
5550,5599,6
5600,5649,10
5650,5699,10
5700,5749,11
5750,5799,8
5800,5849,10
5850,5899,5
5900,5949,7
5950,5999,8
6000,6049,10
6050,6099,13
6100,6149,7
6150,6199,5
6200,6249,4
6250,6299,9
6300,6349,9
6350,6399,10
6400,6449,6
6450,6499,7
6500,6549,5
6550,6599,5
6600,6649,3
6650,6699,6
6700,6749,11
6750,6799,6
6800,6849,2
6850,6899,4
6900,6949,4
6950,6999,6
7000,7049,8
7050,7099,4
7100,7149,8
7150,7199,11
7200,7249,5
7250,7299,5
7300,7349,3
7350,7399,7
7400,7449,5
7450,7499,9
7500,7549,3
7550,7599,6
7600,7649,8
7650,7699,8
7700,7749,9
7750,7799,9
7800,7849,5
7850,7899,6
7900,7949,12
7950,7999,4
8000,8049,5
8050,8099,4
8100,8149,10
8150,8199,4
8200,8249,11
8250,8299,7
8300,8349,2
8350,8399,5
8400,8449,2
8450,8499,7
8500,8549,1
8550,8599,6
8600,8649,1
8650,8699,9
8700,8749,1
8750,8799,4
8800,8849,9
8850,8899,2
8900,8949,2
8950,8999,7
9000,9049,5
9050,9099,4
9100,9149,5
9150,9199,2
9200,9249,4
9250,9299,7
9300,9349,4
9350,9399,3
9400,9449,4
9450,9499,3
9500,9549,3
